Time (s),A Concentration (mol/L),I Concentration (mol/L),P Concentration (mol/L),Temperature (K),kf1 (s^-1),kr1 (s^-1),kf2 (s^-1),kr2 (s^-1)
5.7,0.2876236161431257,0.09265888246644852,0.6197175013904258,290.3012780308674,0.16236268381125077,0.0002681523586727335,0.6637089040845539,0.00020261826163402112
5.800000000000001,0.28298301765590494,0.09119454827374998,0.6258224340703451,290.2353220198392,0.16142855547096513,0.00026635332151453796,0.6602077298440238,0.00020135568801191796
5.9,0.2784430109381011,0.08975744288762014,0.6317995461742788,290.1707633445347,0.1605191645751776,0.00026460359206762033,0.6567976509943955,0.00020012713437356444
6.0,0.27400048452760456,0.08834710980484903,0.6376524056675464,290.1075615488827,0.15963360439094515,0.0002629013014632828,0.6534753862322995,0.0001989313324073082
6.1000000000000005,0.2696524591608057,0.08696308275329283,0.6433844580859015,290.0456776865771,0.15877101076904318,0.00026124467136376747,0.6502378058675767,0.00019776707431144473
6.2,0.26539608061887127,0.08560488848399878,0.64899903089713,289.9850742556078,0.1579305597721668,0.0002596320087592042,0.6470819235189306,0.00019663320936957987
6.300000000000001,0.26122861303811185,0.08427204918986814,0.6544993377720201,289.9257151356599,0.15711146545008214,0.0002580617010989491,0.6440048883138252,0.00019552864074219966
6.4,0.2571474326498197,0.08296408459699378,0.6598884827531866,289.8675655282983,0.15631297775228917,0.0002565322117347215,0.6410039775612599,0.00019445232246021076
6.5,0.25315002191783587,0.08168051376901947,0.6651694643131447,289.81059189984745,0.15553438056931346,0.0002550420756543536,0.6380765898676807,0.000193403256607034
6.6000000000000005,0.2492339640447238,0.0804208566598355,0.6703451792954407,289.75476192687154,0.15477498989428265,0.00025358989548641313,0.6352202386680796,0.00019238049067674153
6.7,0.24539693781981203,0.07918463544554698,0.675418426734641,289.7000444441578,0.15403415209693866,0.00025217433775723383,0.6324325461458048,0.0001913831150964703
6.800000000000001,0.24163671278453802,0.0779713756628364,0.6803919115526256,289.6464093951031,0.15331124230275406,0.0002507941293831719,0.6297112375163745,0.00019041026090217222
6.9,0.2379511446925059,0.07678060717751617,0.6852682481299779,289.5938277844049,0.15260566287027147,0.0002494480543820771,0.627054135651979,0.00018946109755744675
