Time (s),N_R,N_P,R Concentration (mol/L),P Concentration (mol/L),k (s^-1)
4.33901435649024,3907,2093,6.48787778146795e-21,3.475589505147791e-21,0.101
4.343479594881393,3906,2094,6.486217203586848e-21,3.477250083028894e-21,0.101
4.344399481650061,3905,2095,6.4845566257057455e-21,3.478910660909997e-21,0.101
4.351082276980024,3904,2096,6.482896047824643e-21,3.4805712387910995e-21,0.101
4.358831999494016,3903,2097,6.48123546994354e-21,3.4822318166722015e-21,0.101
4.35910542145489,3902,2098,6.479574892062437e-21,3.483892394553304e-21,0.101
4.361465472680838,3901,2099,6.477914314181335e-21,3.485552972434407e-21,0.101
4.364061068441165,3900,2100,6.4762537363002324e-21,3.48721355031551e-21,0.101
4.366128287044087,3899,2101,6.47459315841913e-21,3.4888741281966126e-21,0.101
4.373965424002002,3898,2102,6.472932580538027e-21,3.4905347060777146e-21,0.101
4.375360543956943,3897,2103,6.471272002656924e-21,3.4921952839588174e-21,0.101
4.375403338155508,3896,2104,6.469611424775821e-21,3.49385586183992e-21,0.101
4.376087350962197,3895,2105,6.467950846894719e-21,3.495516439721023e-21,0.101
4.376255867987603,3894,2106,6.4662902690136165e-21,3.497177017602126e-21,0.101
4.37722245223402,3893,2107,6.464629691132514e-21,3.498837595483228e-21,0.101
4.380883585340198,3892,2108,6.462969113251411e-21,3.5004981733643305e-21,0.101
4.382766526832152,3891,2109,6.461308535370308e-21,3.502158751245433e-21,0.101
4.386428864054647,3890,2110,6.459647957489206e-21,3.503819329126536e-21,0.101
4.388311187310648,3889,2111,6.4579873796081034e-21,3.505479907007639e-21,0.101
4.396456043982237,3888,2112,6.456326801727001e-21,3.507140484888741e-21,0.101
4.398220307872668,3887,2113,6.454666223845898e-21,3.5088010627698436e-21,0.101
4.399991200979848,3886,2114,6.453005645964795e-21,3.510461640650946e-21,0.101
4.40711825310963,3885,2115,6.451345068083693e-21,3.512122218532049e-21,0.101
4.412662238771007,3884,2116,6.44968449020259e-21,3.513782796413152e-21,0.101
4.413959889989532,3883,2117,6.4480239123214875e-21,3.515443374294254e-21,0.101
4.416508217484516,3882,2118,6.446363334440385e-21,3.517103952175357e-21,0.101
4.420627836638035,3881,2119,6.444702756559282e-21,3.5187645300564595e-21,0.101
4.421207130392001,3880,2120,6.44304217867818e-21,3.520425107937562e-21,0.101
4.425502454059362,3879,2121,6.441381600797077e-21,3.522085685818665e-21,0.101
4.430250264758617,3878,2122,6.4397210229159744e-21,3.523746263699767e-21,0.101
4.430759855249691,3877,2123,6.438060445034872e-21,3.52540684158087e-21,0.101
4.433038869289525,3876,2124,6.436399867153769e-21,3.5270674194619726e-21,0.101
4.434293330992881,3875,2125,6.434739289272667e-21,3.528727997343075e-21,0.101
4.436949397299541,3874,2126,6.433078711391564e-21,3.530388575224178e-21,0.101
4.43921137974323,3873,2127,6.431418133510461e-21,3.53204915310528e-21,0.101
4.451850193605611,3872,2128,6.4297575556293586e-21,3.533709730986383e-21,0.101
4.452418570944737,3871,2129,6.428096977748256e-21,3.535370308867486e-21,0.101
4.454453099989595,3870,2130,6.426436399867154e-21,3.5370308867485885e-21,0.101
4.461959714818471,3869,2131,6.424775821986051e-21,3.538691464629691e-21,0.101
4.462026033399067,3868,2132,6.423115244104948e-21,3.540352042510793e-21,0.101
4.46596996227241,3867,2133,6.4214546662238454e-21,3.542012620391896e-21,0.101
4.468850876318864,3866,2134,6.419794088342743e-21,3.543673198272999e-21,0.101
4.470320169464479,3865,2135,6.418133510461641e-21,3.5453337761541016e-21,0.101
4.470770727937715,3864,2136,6.416472932580538e-21,3.546994354035204e-21,0.101
4.472848695257161,3863,2137,6.414812354699435e-21,3.548654931916306e-21,0.101
4.47433975513242,3862,2138,6.413151776818332e-21,3.550315509797409e-21,0.101
4.475136557437624,3861,2139,6.4114911989372296e-21,3.551976087678512e-21,0.101
4.477516363588408,3860,2140,6.4098306210561275e-21,3.553636665559615e-21,0.101
4.477696811095049,3859,2141,6.408170043175025e-21,3.5552972434407175e-21,0.101
4.488331193390746,3858,2142,6.406509465293922e-21,3.5569578213218195e-21,0.101
4.488773267945306,3857,2143,6.404848887412819e-21,3.558618399202922e-21,0.101
4.4888293495869735,3856,2144,6.4031883095317165e-21,3.560278977084025e-21,0.101
4.490325400338318,3855,2145,6.4015277316506144e-21,3.561939554965128e-21,0.101
4.491024232515699,3854,2146,6.399867153769512e-21,3.5636001328462306e-21,0.101
4.493889318667269,3853,2147,6.398206575888409e-21,3.5652607107273326e-21,0.101
4.500184226573613,3852,2148,6.396545998007306e-21,3.566921288608435e-21,0.101
4.501026646496445,3851,2149,6.394885420126203e-21,3.568581866489538e-21,0.101
4.502815405704648,3850,2150,6.393224842245101e-21,3.570242444370641e-21,0.101
4.510263839206079,3849,2151,6.3915642643639986e-21,3.571903022251744e-21,0.101
4.513427129240313,3848,2152,6.389903686482896e-21,3.5735636001328464e-21,0.101
4.524914516179475,3847,2153,6.388243108601793e-21,3.5752241780139485e-21,0.101
4.52633093916256,3846,2154,6.38658253072069e-21,3.576884755895051e-21,0.101
4.530631627291254,3845,2155,6.384921952839588e-21,3.578545333776154e-21,0.101
4.531421807231315,3844,2156,6.3832613749584855e-21,3.580205911657257e-21,0.101
4.53496495651805,3843,2157,6.381600797077383e-21,3.5818664895383595e-21,0.101
4.535457420583459,3842,2158,6.37994021919628e-21,3.5835270674194616e-21,0.101
